t,type,op,device
736,time,post,jcl
36,time,post,jcl
58,time,post,jcl
31,time,post,jcl
86,time,post,jcl
27,time,post,jcl
24,time,post,jcl
30,time,post,jcl
27,time,post,jcl
15,time,post,jcl
29,time,post,jcl
31,time,post,jcl
24,time,post,jcl
37,time,post,jcl
52,time,post,jcl
123,time,post,jcl
21,time,post,jcl
20,time,post,jcl
21,time,post,jcl
20,time,post,jcl
20,time,post,jcl
21,time,post,jcl
24,time,post,jcl
24,time,post,jcl
20,time,post,jcl
22,time,post,jcl
22,time,post,jcl
21,time,post,jcl
21,time,post,jcl
31,time,post,jcl
37,time,post,jcl
50,time,post,jcl
40,time,post,jcl
28,time,post,jcl
30,time,post,jcl
23,time,post,jcl
20,time,post,jcl
18,time,post,jcl
20,time,post,jcl
22,time,post,jcl
19,time,post,jcl
19,time,post,jcl
23,time,post,jcl
18,time,post,jcl
18,time,post,jcl
20,time,post,jcl
20,time,post,jcl
18,time,post,jcl
19,time,post,jcl
21,time,post,jcl
22,time,post,jcl
22,time,post,jcl
17,time,post,jcl
16,time,post,jcl
18,time,post,jcl
18,time,post,jcl
17,time,post,jcl
16,time,post,jcl
18,time,post,jcl
19,time,post,jcl
20,time,post,jcl
20,time,post,jcl
18,time,post,jcl
27,time,post,jcl
28,time,post,jcl
20,time,post,jcl
17,time,post,jcl
18,time,post,jcl
19,time,post,jcl
19,time,post,jcl
18,time,post,jcl
18,time,post,jcl
22,time,post,jcl
17,time,post,jcl
17,time,post,jcl
29,time,post,jcl
18,time,post,jcl
18,time,post,jcl
27,time,post,jcl
26,time,post,jcl
19,time,post,jcl
18,time,post,jcl
20,time,post,jcl
18,time,post,jcl
19,time,post,jcl
26,time,post,jcl
20,time,post,jcl
21,time,post,jcl
19,time,post,jcl
15,time,post,jcl
18,time,post,jcl
17,time,post,jcl
17,time,post,jcl
23,time,post,jcl
18,time,post,jcl
24,time,post,jcl
18,time,post,jcl
21,time,post,jcl
29,time,post,jcl
14,time,post,jcl
15,time,post,jcl
26,time,post,jcl
18,time,post,jcl
19,time,post,jcl
33,time,post,jcl
17,time,post,jcl
23,time,post,jcl
27,time,post,jcl
17,time,post,jcl
3,time,post,jcl
25,time,post,jcl
17,time,post,jcl
17,time,post,jcl
28,time,post,jcl
5,time,post,jcl
21,time,post,jcl
29,time,post,jcl
20,time,post,jcl
21,time,post,jcl
40,time,post,jcl
5,time,post,jcl
19,time,post,jcl
34,time,post,jcl
18,time,post,jcl
17,time,post,jcl
20,time,post,jcl
18,time,post,jcl
23,time,post,jcl
18,time,post,jcl
5,time,post,jcl
18,time,post,jcl
16,time,post,jcl
17,time,post,jcl
33,time,post,jcl
5,time,post,jcl
29,time,post,jcl
679,time,post,mqtt
25,time,post,mqtt
408,time,post,mqtt
1583,time,post,mqtt
535,time,post,mqtt
550,time,post,mqtt
3931,time,post,mqtt
786,time,post,mqtt
1915,time,post,mqtt
391,time,post,mqtt
1705,time,post,mqtt
1176,time,post,mqtt
1876,time,post,mqtt
6,time,post,mqtt
485,time,post,mqtt
9,time,post,mqtt
804,time,post,mqtt
10,time,post,mqtt
2494,time,post,mqtt
397,time,post,mqtt
379,time,post,mqtt
45,time,post,mqtt
624,time,post,mqtt
29,time,post,mqtt
